Date,APO
06/04/2025,3
06/05/2025,2
06/06/2025,1
06/09/2025,1
06/10/2025,1
06/11/2025,1
06/12/2025,2
06/13/2025,2
06/16/2025,2
06/17/2025,1
06/18/2025,1
06/19/2025,1
06/20/2025,1
06/23/2025,1
06/24/2025,1
06/25/2025,1
06/26/2025,1
06/27/2025,1
06/30/2025,1
07/01/2025,1
07/02/2025,2
07/03/2025,1
07/04/2025,1
07/07/2025,1
07/08/2025,1
07/09/2025,1
07/10/2025,2
07/11/2025,1
07/14/2025,5
07/15/2025,1
07/16/2025,1
07/17/2025,1
07/18/2025,1
07/21/2025,1
07/22/2025,1
07/23/2025,1
07/24/2025,1
07/25/2025,1
07/28/2025,1
07/29/2025,1
07/30/2025,1
07/31/2025,1
08/01/2025,1
08/04/2025,1
08/05/2025,1
08/06/2025,1
08/07/2025,1
08/08/2025,1
08/11/2025,1
08/12/2025,1
08/13/2025,1
08/14/2025,1
08/15/2025,1
08/18/2025,1
08/19/2025,1
08/20/2025,1
08/21/2025,1
08/22/2025,1
08/25/2025,1
08/26/2025,1
08/27/2025,1
08/28/2025,1
08/29/2025,1
09/01/2025,1
